"","County Name","Year","Population","Public Supply deliveries to domestic, in Mgal/d","Public Supply deliveries to commercial, in Mgal/d","Public Supply deliveries to industrial, in Mgal/d","Public Supply deliveries to thermoelectric, in Mgal/d"
"1","Apache County",1985,59.94,"3.87","0.3","0.02","0"
"2","Apache County",1990,61.59,"4.16","0.79","0","0"
"3","Apache County",1995,67.8,"3.32","0.78","0","0"
"4","Apache County",2000,69.42,"4.06","-","-","-"
"5","Apache County",2005,69.343,"4.34","-","-","-"
"6","Apache County",2010,71.518,"4.25","0.66","0","0"
"7","Apache County",2015,71.474,"5.08","0.69","-","0"
"8","Cochise County",1985,96.3,"8.46","0","0","0"
"9","Cochise County",1990,97.62,"12","5.56","0","0"
"10","Cochise County",1995,110.06,"6.29","4.26","0.12","0"
"11","Cochise County",2000,117.76,"11.33","-","-","-"
"12","Cochise County",2005,126.106,"11.89","-","-","-"
"13","Cochise County",2010,131.346,"11.67","2.72","0","0"
"14","Cochise County",2015,126.427,"13.08","3.07","-","0"
"15","Coconino County",1985,85.96,"8.45","3.75","0.08","0"
"16","Coconino County",1990,96.59,"9.69","2.69","0.67","0"
"17","Coconino County",1995,110.5,"11.89","2.88","0.14","0"
"18","Coconino County",2000,116.32,"14.16","-","-","-"
"19","Coconino County",2005,123.866,"14.43","-","-","-"
"20","Coconino County",2010,134.421,"16.11","3.67","0","0"
"21","Coconino County",2015,139.097,"16.09","3.78","-","0"
"22","Gila County",1985,45.44,"6.8","0.26","0.26","0"
"23","Gila County",1990,40.22,"5.93","0.37","0.3","0"
"24","Gila County",1995,46.04,"3.76","0.35","0","0"
"25","Gila County",2000,51.34,"4.96","-","-","-"
"26","Gila County",2005,51.663,"5.24","-","-","-"
"27","Gila County",2010,53.597,"5.28","0.88","0","0"
"28","Gila County",2015,53.159,"4.11","0.72","-","0"
"29","Graham County",1985,23.3,"2.59","0","0","0"
"30","Graham County",1990,26.55,"2.35","0.2","0.01","0"
"31","Graham County",1995,29.59,"2.11","0.75","0","0"
"32","Graham County",2000,33.49,"3.81","-","-","-"
"33","Graham County",2005,33.073,"3.78","-","-","-"
"34","Graham County",2010,37.22,"3.63","0.88","0","0"
"35","Graham County",2015,37.666,"3.04","0.76","-","0"
"36","Greenlee County",1985,8.7,"0.91","0","0","0"
"37","Greenlee County",1990,8.01,"0.85","0.02","0.09","0"
"38","Greenlee County",1995,9.23,"0.61","0.02","0","0"
"39","Greenlee County",2000,8.55,"1.23","-","-","-"
"40","Greenlee County",2005,7.521,"1.35","-","-","-"
"41","Greenlee County",2010,8.437,"1.58","0.18","0","0"
"42","Greenlee County",2015,9.529,"1.53","0.17","-","0"
"43","La Paz County",1985,16.97,"1.67","0.48","0","0"
"44","La Paz County",1990,13.84,"1.55","0.05","0","0"
"45","La Paz County",1995,14.31,"0.79","0.05","0","0"
"46","La Paz County",2000,19.72,"2.82","-","-","-"
"47","La Paz County",2005,20.238,"3.17","-","-","-"
"48","La Paz County",2010,20.489,"3","0.17","0","0"
"49","La Paz County",2015,20.152,"2.6","0.29","-","0"
"50","Maricopa County",1985,1843.28,"274.89","67.12","66.71","0"
"51","Maricopa County",1990,2122.1,"345.74","63.65","63.14","0"
"52","Maricopa County",1995,2432.37,"402.43","66.79","59.91","0"
"53","Maricopa County",2000,3072.15,"565.29","-","-","-"
"54","Maricopa County",2005,3635.528,"599.82","-","-","-"
"55","Maricopa County",2010,3817.354,"610.12","119.98","0","0.16"
"56","Maricopa County",2015,4167.947,"636.76","139.78","-","0.42"
"57","Mohave County",1985,68.02,"14.73","1.92","0.21","0"
"58","Mohave County",1990,93.5,"9.45","11.46","0.62","0"
"59","Mohave County",1995,121.6,"1.55","11.57","0.49","0"
"60","Mohave County",2000,155.03,"31.36","-","-","-"
"61","Mohave County",2005,187.2,"34.52","-","-","-"
"62","Mohave County",2010,200.209,"35.55","3.75","0","0"
"63","Mohave County",2015,204.737,"37.33","10.53","-","0"
"64","Navajo County",1985,72.26,"7.09","0.5","0.03","0"
"65","Navajo County",1990,77.66,"7.22","1.11","0.32","0"
"66","Navajo County",1995,89.25,"2.36","1.97","0.19","0"
"67","Navajo County",2000,97.47,"8.91","-","-","-"
"68","Navajo County",2005,108.432,"10.2","-","-","-"
"69","Navajo County",2010,107.449,"11.49","1.8","0","0"
"70","Navajo County",2015,108.277,"12.43","2.02","-","0"
"71","Pima County",1985,626.33,"80.63","10.65","10.49","0"
"72","Pima County",1990,666.88,"68.21","22.63","3.07","0"
"73","Pima County",1995,752.43,"60.1","28.74","4","0"
"74","Pima County",2000,843.75,"120.56","-","-","-"
"75","Pima County",2005,924.786,"112.91","-","-","-"
"76","Pima County",2010,980.263,"118.13","33.9","0","0"
"77","Pima County",2015,1010.025,"133.31","42.09","-","0"
"78","Pinal County",1985,102.05,"16.28","0.45","0.45","0"
"79","Pinal County",1990,116.38,"12.73","3.22","0.57","0"
"80","Pinal County",1995,131.21,"8.52","4.69","0.53","0"
"81","Pinal County",2000,179.73,"23.44","-","-","-"
"82","Pinal County",2005,229.549,"30.12","-","-","-"
"83","Pinal County",2010,375.826,"42.87","14.93","0","0"
"84","Pinal County",2015,406.584,"45.54","17.7","-","0"
"85","Santa Cruz County",1985,27.1,"3.41","0","0","0"
"86","Santa Cruz County",1990,29.68,"2.54","0.38","0","0"
"87","Santa Cruz County",1995,36.08,"2.19","0.95","0","0"
"88","Santa Cruz County",2000,38.38,"6.58","-","-","-"
"89","Santa Cruz County",2005,42.009,"5.63","-","-","-"
"90","Santa Cruz County",2010,47.42,"4.45","0.99","0","0"
"91","Santa Cruz County",2015,46.461,"4.24","0.93","-","0"
"92","Yavapai County",1985,84.66,"10.89","1.09","0.48","0"
"93","Yavapai County",1990,107.71,"14.18","1.94","0.83","0"
"94","Yavapai County",1995,134.6,"8.66","3.4","0.11","0"
"95","Yavapai County",2000,167.52,"19.55","-","-","-"
"96","Yavapai County",2005,198.701,"21.78","-","-","-"
"97","Yavapai County",2010,211.033,"19.63","2.99","0","0"
"98","Yavapai County",2015,222.255,"18.4","2.74","-","0"
"99","Yuma County",1985,118.91,"8.44","3.87","0","0"
"100","Yuma County",1990,106.9,"12.33","3","8.87","0"
"101","Yuma County",1995,132.87,"11.27","7.36","0.78","0"
"102","Yuma County",2000,160.03,"21.3","-","-","-"
"103","Yuma County",2005,181.277,"28.56","-","-","-"
"104","Yuma County",2010,195.751,"24.25","5.86","0","0.27"
"105","Yuma County",2015,204.275,"29.76","6.53","-","0.08"
