State Code,State Name,County Code,County Name,Year,"Total Population total population of area, in thousands",,"Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d","Irrigation, Total self-supplied groundwater withdrawals, saline, in Mgal/d","Irrigation, Total total self-supplied withdrawals, groundwater, in Mgal/d","Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d","Wastewater Treatment reclaimed wastewater released by public wastewater facilities, in Mgal/d","Irrigation, Total self-supplied surface-water withdrawals, saline, in Mgal/d","Irrigation, Total total self-supplied withdrawals, surface water, in Mgal/d","Irrigation, Total total self-supplied withdrawals, fresh, in Mgal/d","Irrigation, Total total self-supplied withdrawals, saline, in Mgal/d","Irrigation, Total total self-supplied withdrawals, in Mgal/d","Irrigation, Total consumptive use, fresh, in Mgal/d","Irrigation, Total consumptive use, saline, in Mgal/d","Irrigation, Total total consumptive use, in Mgal/d","Irrigation, Total conveyance loss, in Mgal/d","Irrigation, Total sprinkler irrigation, in thousand acres","Irrigation, Total microirrigation, in thousand acres","Irrigation, Total surface irrigation, in thousand acres","Irrigation, Total total irrigation, in thousand acres","Irrigation, Total reclaimed wastewater, in Mgal/d","Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop consumptive use for crops, fresh, in Mgal/d","Irrigation, Crop conveyance loss for crops, in Mgal/d","Irrigation, Crop sprinkler irrigation for crops, in thousand acres","Irrigation, Crop microirrigation for crops, in thousand acres","Irrigation, Crop surface irrigation for crops, in thousand acres","Irrigation, Crop total irrigation for crops, in thousand acres","Irrigation, Crop reclaimed wastewater for crops, in Mgal/d","Irrigation, Golf Courses self-supplied groundwater withdrawals for golf courses, fresh, in Mgal/d","Irrigation, Golf Courses self-supplied surface-water withdrawals for golf courses, fresh, in Mgal/d","Irrigation, Golf Courses total self-supplied withdrawals for golf courses, fresh, in Mgal/d","Irrigation, Golf Courses consumptive use for golf courses, fresh, in Mgal/d","Irrigation, Golf Courses conveyance loss for golf courses, in Mgal/d","Irrigation, Golf Courses sprinkler irrigation for golf courses, in thousand acres","Irrigation, Golf Courses microirrigation for golf courses, in thousand acres","Irrigation, Golf Courses surface irrigation for golf courses, in thousand acres","Irrigation, Golf Courses total irrigation for golf courses, in thousand acres","Irrigation, Golf Courses reclaimed wastewater for golf courses, in Mgal/d"
4,Arizona,1,Apache County,1985,59.94,,4.66,0,4.66,26.31,-,0,26.31,30.97,0,30.97,23.47,0,23.47,7.73,0,0,24.15,24.15,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,1,Apache County,1990,61.59,,6.55,0,6.55,14.4,-,0,14.4,20.95,0,20.95,15.71,0,15.71,5.24,0,0,22.16,22.16,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,1,Apache County,1995,67.8,,2.6,0,2.6,14.59,-,0,14.59,17.19,0,17.19,12.56,0,12.56,4.19,0,0,5.47,5.47,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,1,Apache County,2000,69.42,,2.6,-,-,21.59,-,-,-,24.19,-,-,-,-,-,-,0,0,5.72,5.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,1,Apache County,2005,69.343,,1.02,-,-,8.35,-,-,-,9.37,-,-,-,-,-,-,0.2,0,2.14,2.34,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,1,Apache County,2010,71.518,,0.58,-,0.58,7.02,0.11,-,7.02,7.6,-,7.6,5.39,-,5.39,0.34,0.2,0,2.5,2.7,0,0.58,7.02,7.6,5.39,0.34,0.2,0,2.5,2.7,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,1,Apache County,2015,71.474,,0.12,-,0.12,1.83,-,-,1.83,1.95,-,1.95,1.48,-,1.48,-,0.03,0,0.95,0.98,0,0.12,1.83,1.95,1.48,-,0.03,0,0.95,0.98,0,0,0,0,0,-,0,0,0,0,0
4,Arizona,3,Cochise County,1985,96.3,,174.22,0,174.22,5.38,-,0,5.38,179.6,0,179.6,134.7,0,134.7,5.92,21.76,0,22.84,44.6,2.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,3,Cochise County,1990,97.62,,137.73,0,137.73,4.46,-,0,4.46,142.19,0,142.19,92.42,0,92.42,21.33,3.5,0,31.43,34.93,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Arizona,3,Cochise County,1995,110.06,,168.56,0,168.56,3.91,-,0,3.91,172.47,0,172.47,110.01,0,110.01,25.39,5.05,0,45.45,50.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
