"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-109711.0016","MARICOPA-STANFIELD","2013","38.36 AF","785.24 AF","2047.03%","22.84 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5026471"
"58-113535.0003","WEST SALT RIVER VALLEY","2011","260.45 AF","2480.89 AF","952.54%","99.88 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5038868"
"58-104564.0001","WEST SALT RIVER VALLEY","2006","54.14 AF","503.16 AF","929.37%","22.89 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5147260"
"58-100900.0002","ELOY","2007","173.27 AF","1112.58 AF","642.11%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5347104"
"58-100234.0005","ELOY","2011","33.21 AF","495.75 AF","1492.77%","28.68 AF","PINAL AMA","SAN CARLOS","N","","5325035"
"58-100234.0005","ELOY","2014","33.21 AF","582.22 AF","1753.15%","28.24 AF","PINAL AMA","SAN CARLOS","N","","5325035"
"58-107303.0001","MARICOPA-STANFIELD","2017","63.21 AF","1959.38 AF","3099.79%","63.21 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5498057"
"58-109460.0007","WEST SALT RIVER VALLEY","2012","248.98 AF","2798.24 AF","1123.88%","25.73 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5509823"
"58-102523.0011","EAST SALT RIVER VALLEY","2009","58.75 AF","573.16 AF","975.59%","33.98 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5618485"
"58-109250.0143","MARICOPA-STANFIELD","2011","1946.78 AF","52270.46 AF","2684.97%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5795555"
"58-109250.0143","MARICOPA-STANFIELD","2012","1946.78 AF","51136.66 AF","2626.73%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5795555"
"58-104197.0015","EAST SALT RIVER VALLEY","2014","88.11 AF",".85 AF",".96%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6068897"
"58-101839.0011","ELOY","2013","0 AF","5925.52 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","6097807"
"58-102268.0003","ELOY","2013","1362.82 AF","10894.84 AF","799.43%","455.25 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6094189"
"58-111941.0008","MARICOPA-STANFIELD","2019","2285.37 AF","21344.55 AF","933.96%","277.17 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5001660"
"58-110632.0002","WEST SALT RIVER VALLEY","2022","237.92 AF","1202.84 AF","505.56%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5158352"
"58-105130.0027","WEST SALT RIVER VALLEY","2020","566.85 AF","18576.23 AF","3277.1%","566.85 AF","PHOENIX AMA","","N","","5151161"
"58-100732.0021","ELOY","2024","52 AF","915.18 AF","1759.96%","NONE","PINAL AMA","SAN CARLOS","N","","5157954"
"58-100424.0001","ELOY","2025","544.04 AF","12013.21 AF","2208.15%","NONE","PINAL AMA","SAN CARLOS","N","","5118015"
"58-105182.0003","WEST SALT RIVER VALLEY","2020","135.49 AF","42.57 AF","31.42%","4.81 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5369340"
"58-100001.0003","EAST SALT RIVER VALLEY","2020","143.38 AF","796.19 AF","555.3%","NONE","PHOENIX AMA","SUN VALLEY FARMS CO-OP IV","N","","5376196"
"58-100001.0003","EAST SALT RIVER VALLEY","2025","143.38 AF","666.33 AF","464.73%","NONE","PHOENIX AMA","SUN VALLEY FARMS CO-OP IV","N","","5376196"
"58-105025.0010","WEST SALT RIVER VALLEY","2024","378.81 AF","67.49 AF","17.82%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5377779"
"58-101255.0006","WEST SALT RIVER VALLEY","2025","300.05 AF","4213.19 AF","1404.16%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5359024"
"58-150007.0001","MARICOPA-STANFIELD","2023","144.9 AF","813.89 AF","561.69%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5516086"
"58-111389.0003","EAST SALT RIVER VALLEY","2021","212.87 AF","3095.05 AF","1453.96%","210.44 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5505623"
"58-102523.0011","EAST SALT RIVER VALLEY","2018","0 AF","711.2 AF","0%","NONE","PHOENIX AMA","SALT RIVER PROJECT","Y","","5618485"
"58-102523.0011","EAST SALT RIVER VALLEY","2025","0 AF","711.2 AF","0%","NONE","PHOENIX AMA","SALT RIVER PROJECT","Y","","5618485"
"58-113181.0007","MARICOPA-STANFIELD","2018","463.72 AF","1729.65 AF","372.99%","463.72 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5614364"
"58-150094.0003","ELOY","2023","298.9 AF","3997.42 AF","1337.38%","175.3 AF","PINAL AMA","SAN CARLOS","N","","5788627"
"58-111290.0004","EAST SALT RIVER VALLEY","2024","250.86 AF","3730.96 AF","1487.27%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5924262"
"58-104197.0015","EAST SALT RIVER VALLEY","2023","88.11 AF","595.01 AF","675.3%","85.6 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6068897"
"58-111644.0004","WEST SALT RIVER VALLEY","2021","46.77 AF","265.72 AF","568.14%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","6090603"
"58-150033.0005","ELOY","2018","633.65 AF","10375.94 AF","1637.49%","600.32 AF","PINAL AMA","SAN CARLOS","N","","6695886"
"58-150062.0004","ELOY","2025","0 AF","1979 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","6831734"
"58-104366.0001","WEST SALT RIVER VALLEY","2019","0 AF","4778.1 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","7084444"
"58-104366.0001","WEST SALT RIVER VALLEY","2020","0 AF","4778.1 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","7084444"
"58-106115.0001","WEST SALT RIVER VALLEY","2025","916.62 AF","-2796.66 AF","-305.11%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","7346290"
"58-104361.0018","MARICOPA-STANFIELD","2023","455.1 AF","12780.22 AF","2808.22%","455.1 AF","PINAL AMA","SAN CARLOS","N","","7491780"
"58-108796.0010","WEST SALT RIVER VALLEY","2023","8.84 AF","-39.88 AF","-451.13%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","7491921"
