"AMA_CODE","AMA","FACILITY PGM CODE","REPORTING_YEAR","PCC","FILE_STATUS","Subsector","RIGHT TYPE","Withdrawn Water AF","Delivered Water AF","Received Water AF","Lost and Unaccounted","Lost and Unaccounted %","Irrigation District"
"E","TUCSON AMA","57","2005","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","16101.4","30702.39","16283.92","1682.93","5.20","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2006","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","16729.2","26792.56","11256.55","1193.19","4.26","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2007","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","21245.92","32662.01","12619.86","1203.77","3.55","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2008","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","25845.48","36138.63","12182.22","1889.07","4.97","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2009","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","25166.83","35445.27","10391.86","113.42","0.32","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2010","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","24753.5","35484.33","11949.41","1218.58","3.32","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2011","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","26587.24","41392.58","17537.85","2732.51","6.19","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2012","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","28617.7","42352.84","16216.63","2481.49","5.53","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2013","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","29373.62","41918.17","15383.14","2838.59","6.34","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2014","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","28036.02","39474.77","13983.63","2544.88","6.06","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2015","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","28042.52","39303.5","13201.66","1940.68","4.71","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2016","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","31138.18","42968.07","14056.28","2226.39","4.93","CORTARO MARANA IRRIG DISTRICT"
"E","TUCSON AMA","57","2017","57-000035.0000","ACTIVE - ACTIVE","IRRIGATION DISTRICTS","IRRIGATION DISTRICT (SW & GW)","30710.81","41916.71","13520.41","2314.51","5.23","CORTARO MARANA IRRIG DISTRICT"
