"","County Name","Year","Population","Public.Supply","Domestic","Irrigation","Thermoelectric","Industrial","Mining","Livestock","Aquaculture"
"1","Apache County",1985,59.94,"4.19","0.61","30.97","6.18","0.02","0","-","-"
"2","Apache County",1990,61.59,"4.96","2.62","20.95","18.42","0","0.06","-","-"
"3","Apache County",1995,67.8,"4.54","2.28","17.19","14.89","0","0","-","-"
"4","Apache County",2000,69.42,"5","2.49","24.19","17.63","0","0","0.48","5.94"
"5","Apache County",2005,69.343,"5.35","1.94","9.37","18.13","0","0","0.44","5.94"
"6","Apache County",2010,71.518,"5.33","1.95","7.6","27.53","0","0","0.61","5.94"
"7","Apache County",2015,71.474,"5.77","1.99","1.95","19.74","0","0","0.71","1.44"
"8","Cochise County",1985,96.3,"8.46","2.84","179.6","3.07","1.77","0","-","-"
"9","Cochise County",1990,97.62,"17.56","1.66","142.19","5.84","0.76","0.22","-","-"
"10","Cochise County",1995,110.06,"11.85","2.57","172.47","5.11","0.76","0.27","-","-"
"11","Cochise County",2000,117.76,"15.22","2.5","215.15","5.6","0.03","0.22","0.85","0"
"12","Cochise County",2005,126.106,"15.97","2.75","230.6","5.13","0.09","0.1","0.64","0"
"13","Cochise County",2010,131.346,"15.73","2.74","214.71","4.43","0.06","0.03","0.7","0"
"14","Cochise County",2015,126.427,"16.15","2.89","217.57","3.52","0.02","0.02","0.68","0"
"15","Coconino County",1985,85.96,"12.28","0.14","2.34","20.73","0","0.01","-","-"
"16","Coconino County",1990,96.59,"13.97","2.02","4.5","18.46","0","0.03","-","-"
"17","Coconino County",1995,110.5,"16.55","1.52","2.7","19.8","0","0","-","-"
"18","Coconino County",2000,116.32,"19.08","1.39","3.26","25.63","0","0","0.6","7.02"
"19","Coconino County",2005,123.866,"19.44","1.31","0.94","23.39","0.05","0.03","0.43","7.02"
"20","Coconino County",2010,134.421,"21.7","1.31","0.28","21.38","0.02","0.01","0.6","6.88"
"21","Coconino County",2015,139.097,"19.87","1.05","0.28","17.03","0.01","0.02","0.69","0.02"
"22","Gila County",1985,45.44,"7.32","0.35","3.94","0","0","17.78","-","-"
"23","Gila County",1990,40.22,"6.6","0.83","4.09","0","0","54.45","-","-"
"24","Gila County",1995,46.04,"4.57","1.04","5.08","0","0","22.32","-","-"
